UK0001,50.90,-1.57
UK0002,50.73,-0.99
UK0003,53.70,-2.15
UK0004,50.99,0.87
UK0006,51.75,-1.81
UK0008,54.33,-0.47
UK0009,51.06,-1.18
UK000B,57.44,-1.72
UK000D,51.24,-2.36
UK000F,51.35,-0.69
UK000H,50.59,-2.06
UK000J,53.58,-1.30
UK000P,55.07,-3.91
UK000R,53.02,-2.01
UK000S,51.14,-1.76
UK000T,51.22,-3.39
UK000U,53.65,-1.75
UK000X,55.41,-2.08
UK000Y,53.21,-1.28
UK000Z,52.82,-2.07
UK001E,51.01,-1.66
UK001H,54.25,-1.94
UK001K,51.29,-3.88
UK001L,52.33,-1.67
UK001M,52.76,-4.64
UK001N,52.98,-2.93
UK001P,52.48,-1.94
UK001Q,53.22,-3.01
UK001R,53.73,-2.73
UK001S,52.51,-2.82
UK001T,53.46,-1.82
UK001U,52.99,-2.93
UK001V,53.16,-3.38
UK001W,53.46,-2.69
UK001X,52.48,-3.67
UK001Y,52.56,-2.45
UK001Z,51.20,-3.20
UK0020,50.86,-3.66
UK0021,50.19,-4.05
UK0022,50.84,-1.09
UK0024,50.90,-3.51
UK0025,50.62,-2.72
UK0026,52.83,0.39
UK0027,51.74,-2.33
UK0029,52.37,-3.68
UK002F,52.06,-0.56
UK002G,52.28,-2.88
UK002H,52.86,-2.54
UK002J,51.12,-2.43
UK002K,53.53,0.18
UK002L,56.24,-4.92
UK002P,54.26,-2.12
UK002Q,50.81,-1.82
UK002R,52.71,-3.14
UK002S,52.53,-2.73
UK002T,52.36,-2.75
UK002U,52.70,-2.82
UK002V,52.49,-3.51
UK002W,51.33,-1.88
UK002X,54.69,-2.37
UK002Y,51.36,0.18
UK002Z,53.65,-0.84
UK0030,51.84,-2.99
UK0031,51.62,-2.28
UK0032,53.08,-0.46
UK0033,52.50,-3.08
UK0034,52.60,1.07
UK0035,52.92,0.59
UK0036,54.16,-1.82
UK0037,51.34,-0.66
UK0038,51.08,-2.10
UK0039,51.27,-0.33
UK003A,52.28,-1.19
UK003B,53.15,-1.02
UK003C,50.20,-4.47
UK003D,51.68,-0.77
UK003E,50.95,-2.91
UK003F,51.73,-2.53
UK003G,51.92,-1.51
UK003J,51.13,-2.59
UK003K,50.29,-3.97
UK003L,51.50,-1.95
UK003M,51.19,-1.73
UK003N,50.98,-0.25
UK003P,51.79,-3.44
UK003S,51.41,-1.98
UK003T,53.71,-1.57
UK003U,53.10,-2.22
UK003V,53.51,-3.47
UK003W,51.54,0.70
UK003X,52.04,-1.51
UK003Y,54.64,-3.85
UK003Z,51.09,-1.99
UK0041,52.39,1.05
UK0042,52.54,-4.05
UK0045,51.12,0.45
UK0049,52.02,-1.94
UK004A,51.61,0.56
UK004B,53.83,-0.50
UK004C,51.29,0.71
UK004D,52.39,-0.32
UK004E,51.26,1.21
UK004F,51.31,-0.01
UK004G,51.81,-0.46
UK004H,51.82,0.43
UK004J,51.60,1.45
UK004L,53.36,-0.04
UK004M,52.68,-4.04
UK004N,53.42,-2.75
UK004P,51.46,0.26
UK004R,49.63,-4.80
UK004U,56.59,-1.91
UK004V,55.65,-2.82
UK004X,51.24,-0.47
